frame,delta
16640,0.2016
17050,0.2016
16630,0.2018
14665,0.2019
16615,0.202
16635,0.202
17315,0.2022
12320,0.2023
15595,0.2027
3600,0.2028
7185,0.2029
11350,0.2029
6675,0.2031
10385,0.2031
14535,0.2032
3980,0.2033
14365,0.2034
12360,0.2036
15090,0.2036
13355,0.2039
2885,0.204
14580,0.2042
14330,0.2043
16480,0.2043
3430,0.2044
11015,0.2044
16600,0.2045
3595,0.2047
14530,0.2047
16610,0.2047
13260,0.2048
4980,0.2049
575,0.2051
760,0.2051
6195,0.2059
12335,0.206
16625,0.2062
9365,0.2065
16490,0.2065
6560,0.2066
6170,0.2069
15590,0.2069
5660,0.207
15380,0.207
5785,0.2071
11650,0.2071
6610,0.2073
9745,0.2075
12915,0.2075
16440,0.2077
2860,0.208
16620,0.208
11755,0.2081
3985,0.2082
14735,0.2084
16580,0.2085
3390,0.2086
11770,0.2086
8955,0.2087
10755,0.2089
5825,0.2092
17380,0.2092
7535,0.2094
15095,0.2095
14590,0.2097
16585,0.2097
11060,0.2098
15580,0.2098
2825,0.2099
17035,0.2102
14325,0.2103
4430,0.2104
6910,0.2106
660,0.2107
17385,0.2107
3105,0.211
11445,0.211
14620,0.211
1605,0.2111
16485,0.2112
1120,0.2117
3425,0.2118
6465,0.2118
10905,0.2118
12380,0.2118
12330,0.2119
14390,0.2119
16495,0.2119
1580,0.212
14525,0.2121
11010,0.2122
17400,0.2123
3490,0.2124
5435,0.2125
10590,0.2125
7310,0.2128
11615,0.213
7415,0.2131
3060,0.2133
3055,0.2135
7085,0.2135
1585,0.2136
3495,0.2137
15360,0.2137
5475,0.2141
11080,0.2142
3500,0.2143
14920,0.2143
11450,0.2151
14520,0.2151
3935,0.2153
10345,0.2153
12345,0.2157
17390,0.2158
9375,0.216
11235,0.2161
6855,0.2162
14585,0.2162
11425,0.2166
6640,0.2167
16505,0.2167
14650,0.2168
15420,0.2168
3095,0.217
6320,0.2171
9510,0.2172
5625,0.2174
5130,0.2175
11285,0.2175
9370,0.2176
14615,0.2176
14625,0.2178
3115,0.2181
4040,0.2181
5455,0.2182
6235,0.2182
12310,0.2183
11680,0.2185
12710,0.2185
16595,0.2185
555,0.2188
1875,0.2193
10610,0.2194
11605,0.2197
13625,0.2198
9815,0.2199
17290,0.22
625,0.2202
8790,0.2202
4990,0.2204
7355,0.2204
2270,0.2205
16645,0.2205
12700,0.2206
6645,0.2209
3990,0.221
13620,0.2212
3460,0.2213
6440,0.2213
3120,0.2215
13265,0.2216
15625,0.2216
13560,0.2217
1825,0.2218
10570,0.2218
5820,0.2219
3480,0.222
3485,0.222
665,0.2222
15620,0.2224
17395,0.2225
13555,0.2229
1000,0.2232
17430,0.2233
2800,0.2234
13655,0.2234
14870,0.2234
9480,0.2235
15315,0.2235
1240,0.2238
15415,0.2238
13570,0.2239
17055,0.224
6575,0.2241
7525,0.2244
10340,0.2245
3475,0.2246
7080,0.2246
14345,0.2246
6335,0.2247
9725,0.2247
7060,0.2248
14640,0.2248
3610,0.2251
16590,0.2251
3165,0.2254
3580,0.2254
13545,0.2254
13565,0.2254
6245,0.2256
12340,0.2259
10585,0.2261
13580,0.2261
3470,0.2262
3465,0.2266
1100,0.2267
13550,0.2267
1795,0.2269
12400,0.2269
11675,0.2271
13490,0.2272
12350,0.2274
9520,0.2275
11230,0.2276
15475,0.2277
8400,0.228
10800,0.228
15555,0.2284
3455,0.2287
13575,0.2287
16395,0.2288
3445,0.229
7405,0.2291
14905,0.2291
5835,0.2294
3605,0.2296
5460,0.2296
13540,0.2297
15440,0.2297
17760,0.2298
8100,0.2304
14355,0.2304
8870,0.2305
3450,0.2306
13605,0.2306
6685,0.2307
16650,0.2307
16475,0.231
11055,0.2311
15465,0.2311
15495,0.2311
11685,0.2312
14395,0.2313
9355,0.2314
13585,0.2314
3090,0.2318
15480,0.232
9760,0.2321
2265,0.2323
5880,0.2325
560,0.2326
17605,0.2326
11455,0.2327
6880,0.2328
3615,0.2333
8800,0.2333
15490,0.2334
17200,0.2334
10380,0.2337
580,0.2338
6450,0.2338
620,0.2339
3065,0.234
4210,0.2341
15460,0.2341
7400,0.2342
15470,0.2342
13590,0.2343
7420,0.2344
14400,0.2344
13660,0.2345
11470,0.2347
11700,0.2347
14875,0.235
8855,0.2351
10780,0.2351
13515,0.2352
6255,0.2354
7195,0.2354
15425,0.2354
14895,0.2355
13535,0.2358
5860,0.2359
7530,0.2359
10360,0.2361
10440,0.2363
3085,0.2364
10435,0.2364
15445,0.2365
3930,0.2367
13520,0.2367
15485,0.2367
15560,0.2368
645,0.2369
15430,0.2369
16795,0.237
7070,0.2371
14645,0.2373
8095,0.2374
8845,0.2374
9720,0.2374
11745,0.2374
6200,0.2375
15455,0.2375
7065,0.2376
14655,0.2376
15435,0.2377
13270,0.2378
670,0.2379
2435,0.2379
3570,0.2379
7350,0.238
6620,0.2381
15450,0.2381
12780,0.2382
16385,0.2384
15500,0.2386
450,0.2387
14915,0.2387
16655,0.2387
6250,0.2389
10460,0.2389
15310,0.2389
8850,0.239
9620,0.239
15575,0.239
11765,0.2392
15395,0.2392
6435,0.2394
10885,0.2394
15540,0.2394
1305,0.2395
2110,0.2396
8860,0.2396
7205,0.2397
13665,0.2397
6800,0.2398
14890,0.2399
7215,0.2402
16460,0.2402
3130,0.2406
15410,0.2408
370,0.2409
13525,0.2409
15510,0.2409
15520,0.2409
1800,0.241
10655,0.2412
11065,0.2413
11760,0.2413
12725,0.2415
9750,0.2416
14910,0.2417
5020,0.2418
11460,0.2418
16985,0.2419
16450,0.242
7075,0.2421
925,0.2425
9580,0.2426
13415,0.2426
3125,0.2427
8880,0.2427
4245,0.2432
6565,0.2432
9495,0.2433
11195,0.2433
11595,0.2433
15545,0.2433
16390,0.2436
15535,0.2437
11465,0.2439
11515,0.2439
15515,0.2439
15530,0.244
11695,0.2441
17030,0.2441
10740,0.2442
11705,0.2443
13530,0.2444
10645,0.2447
10565,0.2448
14360,0.2448
10400,0.245
13615,0.245
6615,0.2451
11850,0.2452
15505,0.2452
9500,0.2453
11190,0.2454
6860,0.2456
15525,0.2456
11475,0.2457
5795,0.246
8865,0.246
11500,0.246
985,0.2461
12800,0.2462
3995,0.2463
7460,0.2464
3140,0.2465
3160,0.2465
11135,0.2465
17195,0.2466
6795,0.2467
3925,0.2468
6460,0.247
10620,0.247
3620,0.2472
4045,0.2472
10375,0.2474
16080,0.2474
10350,0.2475
11480,0.2475
4205,0.2476
15550,0.2476
3070,0.2477
10335,0.2477
9120,0.2481
290,0.2485
570,0.2487
8840,0.2487
14660,0.2489
14410,0.2491
3385,0.2493
12910,0.2493
7240,0.2494
6625,0.2496
11150,0.2496
15405,0.2497
5620,0.2498
7440,0.2498
2600,0.2499
6820,0.2499
10660,0.2501
3080,0.2502
9515,0.2502
5420,0.2503
11655,0.2503
17205,0.2504
615,0.2505
5380,0.2505
10305,0.2506
10280,0.2508
10760,0.2508
15250,0.251
8175,0.2511
14415,0.2511
15205,0.2511
11085,0.2513
8795,0.2514
10405,0.2514
14405,0.252
3395,0.2521
455,0.2522
3145,0.2524
15565,0.2524
3155,0.2525
11710,0.2525
1050,0.2528
9485,0.2529
14635,0.2529
1760,0.253
13610,0.253
3150,0.2531
10900,0.2532
16380,0.2532
5415,0.2534
16705,0.2535
6340,0.2536
3575,0.2537
10650,0.2537
5400,0.2538
4235,0.254
5000,0.254
5035,0.254
1295,0.2541
7345,0.2543
14630,0.2543
15215,0.2543
11370,0.2545
15175,0.2545
15185,0.2545
11510,0.2546
10330,0.2547
640,0.2549
11140,0.255
14350,0.255
15400,0.255
8180,0.2551
16375,0.2553
15255,0.2555
11690,0.2556
5770,0.2557
11155,0.2558
10425,0.2562
12065,0.2562
12395,0.2562
11600,0.2563
3075,0.2564
3135,0.2565
7490,0.2565
11520,0.2565
15200,0.2565
10310,0.2568
10445,0.2569
12385,0.2569
365,0.257
11160,0.2571
14885,0.2571
5690,0.2572
1070,0.2574
7190,0.2575
11215,0.2575
2105,0.2577
10275,0.2577
11580,0.2577
16435,0.2579
8200,0.258
10300,0.258
3565,0.2583
11100,0.2583
14455,0.2585
15220,0.2586
16465,0.2586
15170,0.2587
15210,0.2587
3420,0.2589
4145,0.2591
11485,0.2592
10080,0.2593
11575,0.2593
15570,0.2593
1600,0.2594
11660,0.2594
7445,0.2596
10315,0.2596
11225,0.2597
16470,0.2597
4745,0.2598
5480,0.2598
11200,0.2599
470,0.26
8875,0.26
17405,0.2602
15180,0.2603
5805,0.2604
14755,0.2604
1395,0.2606
5450,0.2606
3560,0.2607
5385,0.2607
4035,0.2608
2820,0.2609
5775,0.261
7395,0.261
10325,0.261
16420,0.261
15195,0.2611
11590,0.2612
15240,0.2612
6355,0.2613
11505,0.2614
10550,0.2616
5135,0.2617
15305,0.2619
9690,0.2622
10880,0.2623
11670,0.2623
14440,0.2624
15235,0.2624
3920,0.2626
11525,0.2627
4740,0.2628
10410,0.2628
5405,0.2629
7435,0.2629
9715,0.2629
10470,0.2629
920,0.2631
10415,0.2631
6360,0.2632
6895,0.2632
11565,0.2633
10450,0.2634
16370,0.2636
17065,0.2636
4720,0.2637
15160,0.264
7315,0.2641
11145,0.2641
14760,0.2641
17210,0.2642
4755,0.2643
11720,0.2647
17020,0.2647
10320,0.2648
16425,0.2648
3540,0.2649
10420,0.2652
11560,0.2653
295,0.2654
5700,0.2654
15190,0.2654
15245,0.2654
17190,0.2654
11740,0.2655
4960,0.2656
11095,0.2659
11120,0.2659
15275,0.2659
5390,0.2662
11105,0.2664
11665,0.2664
15225,0.2664
11865,0.2666
11075,0.2667
11540,0.2667
465,0.2668
11570,0.2668
11365,0.2669
4975,0.267
11110,0.2673
460,0.2676
1045,0.2676
11585,0.2677
10555,0.2678
11170,0.2679
15295,0.2679
5395,0.2683
5830,0.2683
17285,0.2683
4750,0.2685
11115,0.2685
11180,0.2685
10355,0.2686
15230,0.2687
17220,0.2687
11550,0.2688
440,0.2689
16990,0.2689
1805,0.269
5615,0.269
4725,0.2691
14435,0.2692
4945,0.2693
17410,0.2693
8170,0.2694
11490,0.2694
15290,0.2694
10665,0.2696
10480,0.2697
15260,0.2698
8835,0.2699
14460,0.2699
17275,0.2699
6900,0.27
15300,0.27
5410,0.2701
16430,0.2701
11185,0.2702
3760,0.2703
11715,0.2703
4050,0.2704
10370,0.2705
7385,0.2708
11205,0.2709
6905,0.2711
10820,0.2711
15270,0.2715
7660,0.2717
11555,0.2717
8805,0.2718
17415,0.2719
11530,0.2722
11545,0.2722
15265,0.2722
12820,0.2723
5695,0.2724
17010,0.2726
610,0.2727
6380,0.2727
14880,0.2729
16455,0.2729
1155,0.273
17420,0.2733
960,0.2735
17000,0.2735
1020,0.2737
17185,0.2737
12390,0.2738
15340,0.2738
10365,0.2739
6865,0.274
11090,0.2741
4995,0.2744
1080,0.2745
6330,0.2745
10430,0.2745
375,0.2746
1880,0.2746
10455,0.2746
15105,0.275
980,0.2753
9075,0.2753
14445,0.2754
9175,0.2755
11220,0.2755
350,0.2757
2830,0.2757
5430,0.2757
6595,0.2758
5015,0.2759
6445,0.2759
360,0.276
8525,0.276
15080,0.2761
16995,0.2763
17230,0.2763
1075,0.2764
4955,0.2765
15280,0.2765
10615,0.2766
5005,0.2767
8015,0.2767
9755,0.2767
3625,0.2768
3765,0.2769
4030,0.2769
4950,0.2769
5010,0.2771
10560,0.2771
405,0.2772
14450,0.2774
16680,0.2777
6850,0.278
11535,0.278
11175,0.2781
17180,0.2781
3550,0.2782
540,0.2783
355,0.2784
9100,0.2785
14430,0.2785
15165,0.2785
17215,0.2785
10545,0.2787
16750,0.2787
3755,0.2788
17015,0.2791
1775,0.2792
2100,0.2792
6375,0.2793
635,0.2794
17175,0.2794
17260,0.2795
4965,0.2796
15100,0.2797
3835,0.2802
5610,0.2802
390,0.2803
10640,0.2803
17070,0.2804
5865,0.2805
8280,0.2805
9140,0.2805
2455,0.2807
16685,0.2807
345,0.2808
5685,0.2808
6570,0.2808
3820,0.2809
3840,0.2809
17225,0.281
400,0.2811
3805,0.2811
4940,0.2812
5425,0.2812
11375,0.2812
3825,0.2813
12905,0.2813
3800,0.2814
3830,0.2815
11495,0.2816
14765,0.2816
10285,0.2818
3810,0.2819
3880,0.2821
13375,0.2821
6400,0.2822
17165,0.2822
3815,0.2824
8145,0.2824
1820,0.2825
17170,0.2825
9505,0.2826
15285,0.2828
3770,0.2829
6885,0.2831
3795,0.2834
15155,0.2834
410,0.2835
5845,0.2835
10295,0.2835
17240,0.2836
17140,0.284
340,0.2842
5445,0.2842
11860,0.2843
385,0.2844
17025,0.2844
11355,0.2845
3790,0.2846
17235,0.2849
420,0.285
3775,0.2852
6365,0.2852
9680,0.2852
16755,0.2852
5855,0.2853
16760,0.2853
5800,0.2855
395,0.2859
17145,0.2859
8165,0.2861
7700,0.2862
9705,0.2866
975,0.2867
7340,0.2867
7380,0.2867
17135,0.2867
7670,0.2868
7675,0.2868
17160,0.2869
4935,0.2872
8810,0.2872
11165,0.2872
8140,0.2875
650,0.2876
3750,0.2876
11825,0.2876
3630,0.2879
10635,0.288
15085,0.288
7390,0.2881
10930,0.2883
3520,0.2884
4000,0.2887
16690,0.2887
8275,0.2889
7475,0.289
11360,0.289
425,0.2891
2835,0.2893
10475,0.2894
17075,0.2894
13370,0.2895
10465,0.2896
17150,0.2896
13380,0.2898
1260,0.2899
15120,0.2899
7695,0.29
285,0.2902
535,0.2902
14420,0.2903
3875,0.2904
17155,0.2906
17265,0.2906
5055,0.2908
7465,0.2912
8195,0.2912
14800,0.2912
12920,0.2913
600,0.2916
3845,0.2916
15110,0.2917
6230,0.2918
11210,0.2919
7690,0.2921
8440,0.2921
12840,0.2922
7455,0.2923
7485,0.2923
16400,0.2923
4475,0.2924
12730,0.2924
16415,0.2924
3780,0.2925
4735,0.2925
8150,0.2925
15320,0.2925
1810,0.2927
5375,0.2928
380,0.2929
585,0.293
3785,0.293
4025,0.293
435,0.2932
10920,0.2934
7430,0.2935
8930,0.2935
11130,0.2937
16790,0.2938
5360,0.2939
17005,0.2942
11125,0.2943
7685,0.2944
140,0.2945
1325,0.2945
6325,0.2945
10500,0.2951
13495,0.2951
160,0.2953
3635,0.2953
6840,0.2954
7425,0.2955
7470,0.2955
595,0.2957
8260,0.2957
4715,0.296
3850,0.2962
16780,0.2964
430,0.2965
4930,0.2965
17255,0.2966
2095,0.2969
4970,0.2972
11845,0.2974
7680,0.2975
6890,0.2976
3915,0.2977
3745,0.2978
3870,0.2978
1895,0.2979
1885,0.298
5875,0.298
9465,0.298
965,0.2981
2085,0.2984
5,0.2986
3860,0.2986
8000,0.2986
10485,0.2986
2080,0.2987
3905,0.2987
14425,0.2987
10505,0.2988
17125,0.2995
10540,0.2996
525,0.2997
16700,0.2997
520,0.2998
17130,0.2999
6225,0.3001
1255,0.3003
7450,0.3005
4240,0.3007
3865,0.3008
8265,0.3008
7650,0.3009
3740,0.301
1890,0.3011
5850,0.3011
6790,0.3011
10510,0.3011
3735,0.3017
970,0.3019
8815,0.3022
3555,0.3023
16785,0.3023
5465,0.3024
7740,0.3024
16775,0.3024
3855,0.3026
4020,0.3029
7480,0.3029
16765,0.303
8270,0.3031
4140,0.3033
6875,0.3037
11840,0.3037
13385,0.3037
2075,0.3038
17115,0.3038
17270,0.304
17120,0.3042
6700,0.3043
8155,0.3043
6870,0.3044
80,0.3045
15115,0.3045
8540,0.3049
16695,0.3049
3885,0.3051
7330,0.3051
5505,0.3053
3660,0.3056
10265,0.3056
5510,0.3057
3685,0.3058
3690,0.3058
8160,0.3058
3655,0.3059
7335,0.306
3640,0.3061
6370,0.3063
3910,0.3067
8935,0.3068
7705,0.3069
7320,0.307
11070,0.307
7665,0.3071
15605,0.3074
2070,0.3075
3650,0.3075
8010,0.3077
15140,0.3077
9470,0.308
15355,0.3083
3665,0.3085
3695,0.3085
9700,0.3085
3645,0.3086
17250,0.3087
3680,0.3088
17245,0.3092
2090,0.3097
1900,0.3098
3670,0.3102
4265,0.3112
8395,0.3114
17610,0.3114
7325,0.3116
7735,0.3117
3545,0.3118
3675,0.3118
15135,0.312
9040,0.3121
5050,0.3122
7225,0.3123
15130,0.3127
2020,0.3128
4260,0.3129
10290,0.313
3730,0.3133
415,0.3135
3700,0.3137
3725,0.3137
4710,0.3139
1930,0.3141
590,0.3145
530,0.3146
12735,0.3146
3705,0.3147
3720,0.3148
16060,0.3148
17110,0.315
9035,0.3152
3525,0.3154
6345,0.3155
10535,0.3155
3530,0.3157
7720,0.3159
6350,0.316
13400,0.3161
6205,0.3162
1925,0.3163
13360,0.317
15145,0.317
2815,0.3172
5870,0.3174
6220,0.3174
3710,0.3176
1315,0.3178
9045,0.3179
17085,0.3179
445,0.318
1905,0.318
10895,0.3182
8960,0.3183
11735,0.3183
7715,0.3185
9025,0.3187
7710,0.3189
9030,0.3189
1815,0.319
3715,0.3191
7995,0.3191
17080,0.3192
8965,0.3193
605,0.3195
15615,0.3196
7725,0.3197
10515,0.3197
655,0.32
8985,0.32
3535,0.3201
8830,0.3201
6825,0.3208
3515,0.3211
220,0.3212
17105,0.3212
935,0.3214
5370,0.3214
7745,0.3219
5470,0.322
7655,0.3221
7365,0.3223
9160,0.3224
630,0.3225
7730,0.3228
11830,0.3228
1920,0.3229
17100,0.3237
1915,0.3241
4700,0.3242
6835,0.3242
6845,0.3242
10270,0.3247
4005,0.3248
11835,0.3253
11725,0.3257
5045,0.3261
7255,0.3264
3505,0.3266
10625,0.3266
2015,0.3267
14770,0.3268
1935,0.3269
7755,0.3269
13390,0.3269
7840,0.327
4705,0.3271
17090,0.3275
1770,0.3278
9165,0.3281
14795,0.3282
7835,0.3284
7235,0.3285
7830,0.3286
17095,0.3287
8005,0.3289
265,0.329
7800,0.3293
3890,0.3295
9020,0.3297
260,0.3304
5340,0.3305
270,0.3308
2065,0.3312
7760,0.3313
10925,0.3313
230,0.3314
7825,0.3317
900,0.3319
7810,0.3319
280,0.332
2040,0.332
4010,0.3321
7795,0.3321
12900,0.3321
275,0.3323
5025,0.3323
7805,0.3324
15610,0.3324
3415,0.3325
7815,0.3329
7820,0.3331
2025,0.3333
15150,0.3333
245,0.3336
11730,0.3336
235,0.3338
255,0.3338
2005,0.3338
15060,0.3338
2010,0.334
225,0.3341
3900,0.3342
10630,0.3342
7790,0.3347
7845,0.3349
9145,0.3352
1910,0.3353
240,0.3354
7750,0.3354
6780,0.3355
3895,0.3358
3510,0.3359
1950,0.3361
1955,0.3361
9685,0.3367
13395,0.3368
9015,0.337
1940,0.3375
1960,0.3375
7765,0.3375
250,0.3376
1945,0.3377
2035,0.3377
17680,0.3378
6765,0.3381
1390,0.3386
7230,0.3388
3400,0.3389
2000,0.339
6770,0.339
1965,0.3391
16770,0.3392
7785,0.3394
1970,0.3401
1995,0.3403
6395,0.3407
1975,0.341
565,0.3411
2030,0.3411
2805,0.3413
7775,0.3414
1310,0.3415
4015,0.3415
2060,0.3417
1990,0.3418
7780,0.3418
10260,0.342
6775,0.3421
3405,0.3423
3410,0.3423
7770,0.3423
10530,0.3428
9055,0.3434
1980,0.3437
1985,0.3438
4695,0.344
6695,0.3444
13365,0.3446
9060,0.3448
5030,0.3449
6385,0.3451
2045,0.3457
4125,0.3459
10520,0.3473
7990,0.3476
9170,0.3481
16100,0.3484
9000,0.3485
940,0.3486
9010,0.3488
9695,0.3494
9005,0.3495
6690,0.3503
5365,0.3512
8820,0.3512
14945,0.3513
1610,0.3516
1280,0.3528
8520,0.353
2050,0.3533
15350,0.3539
8970,0.354
8825,0.3552
7850,0.3554
10840,0.356
7855,0.3567
6830,0.3569
10525,0.3575
9710,0.3578
955,0.358
4690,0.358
6785,0.3582
9180,0.3584
9050,0.3587
2055,0.3588
7860,0.3591
8770,0.3591
7375,0.3601
4685,0.3604
9065,0.3606
1010,0.3611
7985,0.3614
8975,0.3615
4645,0.3625
4655,0.3626
14775,0.3627
13405,0.3628
4640,0.363
4650,0.363
8980,0.3633
4630,0.3636
4660,0.3636
4680,0.3636
4665,0.3638
4625,0.3641
12740,0.3641
4135,0.3642
4635,0.3645
4590,0.3651
880,0.3653
10490,0.3655
9675,0.3657
4525,0.366
1425,0.3661
4670,0.3664
16410,0.3665
4575,0.367
0,0.3671
4675,0.3672
4580,0.3673
4615,0.3673
4620,0.3677
4570,0.3678
4520,0.3679
4585,0.368
4530,0.3683
1620,0.3684
4560,0.3691
4555,0.3695
4550,0.3696
4565,0.3696
4595,0.3697
10495,0.3697
4545,0.3699
4535,0.3702
4610,0.3709
4605,0.3714
4480,0.3716
5355,0.3717
10860,0.372
4600,0.3727
4540,0.3736
4515,0.3745
4510,0.3748
7955,0.3748
7950,0.3749
7965,0.375
7865,0.3752
915,0.3754
7940,0.3757
7925,0.3758
7930,0.3758
10140,0.3758
7945,0.3759
7975,0.3763
7970,0.3764
7980,0.3765
6415,0.3767
7960,0.3769
5345,0.377
8990,0.3773
4500,0.3779
15345,0.3779
4505,0.3783
7935,0.3785
7920,0.3786
6405,0.3788
8995,0.3809
9670,0.3811
7905,0.3821
7890,0.3824
14950,0.3833
6390,0.3836
16405,0.3844
7915,0.3848
7870,0.3851
7900,0.3851
6410,0.3854
1330,0.3857
7910,0.3857
5350,0.3863
7885,0.387
7895,0.3882
7875,0.3899
4495,0.3906
945,0.391
1015,0.3922
4485,0.3928
7880,0.3928
4130,0.3929
120,0.3936
4490,0.3947
9070,0.3949
8500,0.3952
13410,0.4028
1385,0.4034
1365,0.4048
7245,0.4083
16340,0.4095
2810,0.4132
7210,0.4154
1370,0.4161
1420,0.4183
1375,0.4211
1340,0.4217
1360,0.4219
1400,0.4221
1355,0.4222
1350,0.423
1380,0.427
7250,0.4285
8460,0.4287
1320,0.4293
1300,0.4304
17800,0.4363
1335,0.4376
8390,0.4377
1345,0.4429
17805,0.4442
8480,0.4509
